rho,condition_number,pinv_error_mean,pinv_error_std,tikhonov_error_mean,tikhonov_error_std,pinv_amplification_mean,tikhonov_amplification_mean
0.0001,100,0.0011020497652913727,0.00012430260086377726,0.0026153849374497633,0.0002675640413814691,11.020497652913726,26.153849374497632
0.0001,10000,0.05823792983167546,0.009220237567435102,0.45003961246176677,0.024936070641985122,582.3792983167546,4500.396124617667
0.0001,1000000,3.8273960771445856,0.6211896714359777,0.6809782487765386,0.026827153592788554,38273.96077144586,6809.782487765386
0.0001,100000000,262.2843384408277,70.25999227243115,0.7694001148410662,0.033253559588419766,2622843.384408277,7694.001148410661
0.001,100,0.010842312220587324,0.0014881802393034045,0.010941030783904045,0.0013733122335996299,10.842312220587324,10.941030783904045
0.001,10000,0.5317004881172733,0.10041190750775111,0.4394861264011535,0.038068790388510486,531.7004881172733,439.48612640115346
0.001,1000000,39.087954997635265,9.074731010763992,0.6765312452973561,0.02407840975077319,39087.954997635265,676.531245297356
0.001,100000000,2787.184627514963,658.6098183645241,0.7793607570884307,0.023654078287794537,2787184.6275149626,779.3607570884307
0.01,100,0.11032573573619345,0.013407471041424812,0.10982837748320382,0.013383492605867523,11.032573573619342,10.982837748320382
0.01,10000,5.606919056374595,1.2153807587992096,0.7100640296667979,0.08817075299073819,560.6919056374595,71.00640296667979
0.01,1000000,403.02988433571784,65.7515687045856,0.783828172246517,0.027917272822882106,40302.98843357178,78.3828172246517
0.01,100000000,27305.23315723915,6018.723375673517,0.8185102767849111,0.03817269146596959,2730523.315723915,81.85102767849112
