direction,index,singular_value,inverse_factor,tikhonov_amplification_factor,pinv_relative_error,tikhonov_relative_error,pinv_noise_error_norm,predicted_pinv_noise_error_norm
largest singular direction,1,0.9999999999999999,1.0000000000000002,0.9999990000010002,0.00013676931939813966,0.8679284694280202,0.001980551984709115,0.0019805519848001807
middle singular direction,129,9.645255256233292e-05,10367.79197060384,95.56351610344724,1.4179951658788206,0.8677206567301807,20.533950965374338,20.533950965374807
smallest singular direction,256,1.0000000011279117e-08,99999999.88720882,0.010000000010279116,13676.925312035484,0.8679283877043645,198055.19825662934,198055.1982566293
