alpha,condition_number,rho,trial,lambda,pinv_error,tikhonov_error,pinv_amplification,tikhonov_amplification
2,100,0.0001,0,1e-06,0.0009599859074740079,0.0029060115677606566,9.599859074740078,29.06011567760656
2,100,0.0001,1,1e-06,0.0011772628280490155,0.0023524053961517053,11.772628280490155,23.52405396151705
2,100,0.0001,2,1e-06,0.000866698717311222,0.002460831926562056,8.666987173112219,24.60831926562056
2,100,0.0001,3,1e-06,0.0011425209816312877,0.0023261934631970175,11.425209816312877,23.261934631970178
2,100,0.0001,4,1e-06,0.0009958992552886476,0.00294025197857919,9.958992552886476,29.402519785791903
2,100,0.0001,5,1e-06,0.0011123094615814932,0.0022806773861417146,11.123094615814932,22.806773861417145
2,100,0.0001,6,1e-06,0.0012313542101898304,0.002577071498224866,12.313542101898301,25.770714982248656
2,100,0.0001,7,1e-06,0.0011534463224091354,0.00253986682541224,11.534463224091354,25.3986682541224
2,100,0.0001,8,1e-06,0.0010910092794432715,0.0025677856808977904,10.910092794432714,25.677856808977904
2,100,0.0001,9,1e-06,0.0009084212027067593,0.002343074322107905,9.084212027067593,23.43074322107905
2,100,0.0001,10,1e-06,0.0010316013088125632,0.0025432251425066307,10.316013088125633,25.43225142506631
2,100,0.0001,11,1e-06,0.0011657806839524426,0.0033393046588178327,11.657806839524426,33.39304658817833
2,100,0.0001,12,1e-06,0.001034295368894277,0.0027308744031656323,10.342953688942771,27.30874403165632
2,100,0.0001,13,1e-06,0.0014100161945787958,0.002486693550876534,14.10016194578796,24.86693550876534
2,100,0.0001,14,1e-06,0.001031569666687263,0.0024505097514747705,10.31569666687263,24.505097514747703
2,100,0.0001,15,1e-06,0.0012063603426551667,0.002357037733398284,12.063603426551664,23.570377333982837
2,100,0.0001,16,1e-06,0.001100380278761033,0.002763568409151945,11.003802787610327,27.635684091519444
2,100,0.0001,17,1e-06,0.0012173367666685488,0.002898347330422509,12.173367666685486,28.983473304225086
2,100,0.0001,18,1e-06,0.0011511341108233946,0.0026217938611992407,11.511341108233944,26.217938611992405
2,100,0.0001,19,1e-06,0.001053612417909298,0.002822173862946748,10.53612417909298,28.221738629467477
2,100,0.001,0,1e-06,0.011434163734755807,0.011669300323493208,11.434163734755806,11.669300323493209
2,100,0.001,1,1e-06,0.010693742465706577,0.010228530481124399,10.693742465706574,10.228530481124396
2,100,0.001,2,1e-06,0.012761430587798913,0.01292111530175876,12.761430587798909,12.921115301758757
2,100,0.001,3,1e-06,0.010875162701174427,0.011141630091335317,10.875162701174427,11.141630091335317
2,100,0.001,4,1e-06,0.007919330128846169,0.008930748084154361,7.919330128846169,8.930748084154361
2,100,0.001,5,1e-06,0.012132831938540561,0.0123702664326321,12.13283193854056,12.3702664326321
2,100,0.001,6,1e-06,0.008957562048174654,0.00928599977603425,8.957562048174653,9.28599977603425
2,100,0.001,7,1e-06,0.013183189783633066,0.013258016577367632,13.183189783633068,13.258016577367634
2,100,0.001,8,1e-06,0.012523373207383408,0.012163459672163295,12.523373207383406,12.163459672163292
2,100,0.001,9,1e-06,0.011374383348853205,0.011166352672869353,11.374383348853204,11.166352672869353
2,100,0.001,10,1e-06,0.008956624273908604,0.009201947955221177,8.956624273908604,9.201947955221177
2,100,0.001,11,1e-06,0.01194946357016863,0.011149770478595682,11.94946357016863,11.149770478595682
2,100,0.001,12,1e-06,0.008546697544951977,0.008603883299361832,8.546697544951977,8.603883299361831
2,100,0.001,13,1e-06,0.010514108441764192,0.010097469676203811,10.514108441764192,10.097469676203811
2,100,0.001,14,1e-06,0.008993630925523514,0.009477863850058414,8.993630925523517,9.477863850058416
2,100,0.001,15,1e-06,0.010229364412958504,0.010428763783011318,10.229364412958503,10.428763783011318
2,100,0.001,16,1e-06,0.011091893615649408,0.010889551569354053,11.091893615649408,10.889551569354053
2,100,0.001,17,1e-06,0.011499644593474492,0.011420690303233885,11.49964459347449,11.420690303233885
2,100,0.001,18,1e-06,0.011781503138157548,0.012130938740662392,11.781503138157548,12.13093874066239
2,100,0.001,19,1e-06,0.011428143950322848,0.012284316609445666,11.428143950322848,12.284316609445666
2,100,0.01,0,1e-06,0.13757611496865826,0.13778492039753837,13.757611496865824,13.778492039753834
2,100,0.01,1,1e-06,0.12090450682973986,0.11947585460482868,12.090450682973986,11.947585460482868
2,100,0.01,2,1e-06,0.1291126937609463,0.12827392758380643,12.91126937609463,12.827392758380643
2,100,0.01,3,1e-06,0.11757099925404026,0.11737550191188012,11.757099925404026,11.737550191188012
2,100,0.01,4,1e-06,0.09426786621181729,0.09389994130629055,9.42678662118173,9.389994130629056
2,100,0.01,5,1e-06,0.08347027965451428,0.08313271155957824,8.347027965451428,8.313271155957825
2,100,0.01,6,1e-06,0.11907902827582854,0.11844125509662655,11.907902827582854,11.844125509662655
2,100,0.01,7,1e-06,0.11582853233619429,0.11582089161598286,11.58285323361943,11.582089161598285
2,100,0.01,8,1e-06,0.10790673278537899,0.10730898302071949,10.790673278537898,10.73089830207195
2,100,0.01,9,1e-06,0.10114057466664406,0.10032982974190398,10.114057466664406,10.032982974190398
2,100,0.01,10,1e-06,0.12217587902435732,0.1211781708986034,12.217587902435731,12.11781708986034
2,100,0.01,11,1e-06,0.1054049547129225,0.10540919302670419,10.54049547129225,10.540919302670419
